City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,carnarvon,-24.8667,113.6333,292.19,74,0,6.85,AU,1728840251
118,gilgit,35.9221,74.3087,291.02,29,16,1.0,PK,1728840252
119,alotau,-10.3069,150.4462,296.8,97,67,1.3,PG,1728840253
120,taltal,-25.4,-70.4833,292.11,69,26,4.38,CL,1728840254
121,longyearbyen,78.2186,15.6401,275.06,87,75,10.29,SJ,1728840255
122,buka,40.8108,69.1986,288.63,68,89,4.59,UZ,1728840256
123,saldanha,-33.0117,17.9442,290.18,87,74,9.36,ZA,1728840257
124,miyaly,48.8844,53.7836,275.74,33,0,4.85,KZ,1728840016
125,ullal,12.8,74.85,298.68,94,75,0.0,IN,1728840259
126,newman,37.3138,-121.0208,295.95,68,0,4.02,US,1728840260
127,thompson,55.7435,-97.8558,274.24,69,75,3.6,CA,1728840262
128,soio,-6.1349,12.3689,297.96,81,75,3.42,AO,1728840263
129,kalmunai,7.4167,81.8167,297.91,90,100,2.27,LK,1728840264
130,lebu,-37.6167,-73.65,286.9,63,3,5.31,CL,1728840113
131,verkhniy baskunchak,48.2256,46.7217,277.53,45,0,5.73,RU,1728840266
132,avesta,60.1455,16.1679,280.44,99,100,1.64,SE,1728840267
133,sungai raya,0.7,108.9,298.91,89,99,1.8,ID,1728840268
134,ust-nera,64.5667,143.2,269.11,93,99,2.57,RU,1728840269
135,lao cai,22.4833,103.95,297.27,92,97,0.57,VN,1728840270
136,ushuaia,-54.8,-68.3,285.96,50,40,5.66,AR,1728840271
137,margate,51.3813,1.3862,282.42,74,100,0.76,GB,1728840273
138,anadyr,64.75,177.4833,257.43,85,0,3.0,RU,1728840274
139,bodo,67.28,14.405,281.91,92,75,3.6,NO,1728840275
140,portland,45.5234,-122.6762,290.34,76,20,2.68,US,1728840166
141,lerwick,60.1545,-1.1494,278.73,58,84,3.93,GB,1728840277
142,cabo san lucas,22.8909,-109.9124,307.32,64,0,2.06,MX,1728840118
143,vila velha,-20.3297,-40.2925,299.12,72,75,8.23,BR,1728840279
144,boa esperanca,-21.09,-45.5658,303.15,38,76,2.21,BR,1728840280
145,spas-demensk,54.4122,34.0226,278.78,93,100,5.56,RU,1728840281
146,tiksi,71.6872,128.8694,262.1,91,100,3.52,RU,1728840282
147,merowe,18.4833,31.8167,308.87,17,31,0.38,SD,1728840283
148,labuan,5.2767,115.2417,300.35,94,40,0.0,MY,1728840284
149,belen,36.4891,36.2233,294.23,69,20,5.66,TR,1728840286
150,shibirghan,36.6676,65.7529,293.87,32,81,4.46,AF,1728840287
151,iqaluit,63.7506,-68.5145,274.0,80,75,6.71,CA,1728840288
152,plettenberg bay,-34.0527,23.3716,289.98,89,73,3.48,ZA,1728840289
153,sao joao da barra,-21.6403,-41.0511,301.2,65,100,7.16,BR,1728840290
154,ermesinde,41.2218,-8.5546,295.64,68,20,1.54,PT,1728840291
155,utrik,11.2278,169.8474,301.21,77,58,6.1,MH,1728840292
156,port alfred,-33.5906,26.891,293.25,92,9,0.45,ZA,1728840293
157,isangel,-19.55,169.2667,294.83,78,100,6.62,VU,1728840294
158,severo-yeniseyskiy,60.3725,93.0408,266.94,78,100,5.57,RU,1728840295
159,udachny,66.4167,112.4,251.49,100,59,2.32,RU,1728840296
160,susuman,62.7833,148.1667,265.0,97,100,0.88,RU,1728840298
161,halifax,44.6453,-63.5724,287.97,54,80,6.69,CA,1728840145
162,kropachevo,55.0112,57.9896,271.22,72,27,0.77,RU,1728840300
163,hono,57.6897,11.6497,282.68,67,100,4.53,SE,1728840301
164,san juan del sur,11.2529,-85.8705,301.27,74,40,3.09,NI,1728840302
165,cobija,-11.0267,-68.7692,307.25,59,75,1.54,BO,1728840303
166,praia,14.9215,-23.5087,300.45,83,40,3.09,CV,1728840304
167,santa elena de uairen,4.6167,-61.1333,302.36,42,69,4.45,VE,1728840305
168,sint michiel liber,12.15,-68.9833,304.05,79,40,8.23,CW,1728840306
169,torghay,49.6339,63.4981,275.83,50,100,10.08,KZ,1728840308
170,ban talat bueng,13.0715,101.0031,299.81,84,73,0.75,TH,1728840309
171,saint-francois,46.4154,3.9054,290.84,85,0,1.54,FR,1728840310
172,margaret river,-33.95,115.0667,287.33,85,0,2.84,AU,1728840311
173,saint-philippe,-21.3585,55.7679,294.52,77,62,6.3,RE,1728840312
174,hagere maryam,5.6333,38.2333,289.9,76,76,0.61,ET,1728840313
175,sattahip,12.6664,100.9007,300.2,83,20,2.06,TH,1728840314
176,matamey,13.4231,8.4749,307.88,18,88,4.43,NE,1728840315
177,male,4.1748,73.5089,301.12,78,75,7.2,MV,1728840303
178,chifeng,42.2683,118.9636,288.42,67,100,3.67,CN,1728840317
179,smithers,54.7804,-127.1743,284.33,93,75,1.54,CA,1728840318
180,cidreira,-30.1811,-50.2056,293.69,73,0,9.0,BR,1728840320
181,morehead city,34.7229,-76.726,298.73,62,0,6.17,US,1728840321
182,fortuna,40.5982,-124.1573,288.66,100,0,0.0,US,1728840323
183,hamilton,39.1834,-84.5333,299.38,58,0,7.72,US,1728840324
184,avarua,-21.2078,-159.775,295.18,94,100,2.57,CK,1728840325
